f (GHz),theta (deg.),phi (deg.),gain (dBi),directivity (dBi)
1.9800000000000002,24.000000000000004,-174.0,1.4843999078282242,2.46084899672744
1.9800000000000002,26.0,-174.0,1.3791811371314535,2.286416551036393
1.9800000000000002,28.0,-174.0,1.2682869364658371,2.102575336137548
1.9800000000000002,29.999999999999996,-174.0,1.1533963598276467,1.9121088999955664
1.9800000000000002,32.0,-174.0,1.0364080401719542,1.7181648101749583
1.9800000000000002,34.0,-174.0,0.9193844738697281,1.5241622882065822
1.9800000000000002,36.0,-174.0,0.8045462931656453,1.333782714426422
1.9800000000000002,38.0,-174.0,0.694373304661513,1.1511371303105329
1.9800000000000002,40.0,-174.0,0.5918821301434205,0.9812265134638416
1.9800000000000002,42.0,-174.0,0.5011371976359595,0.8307889023177987
1.9800000000000002,44.0,-174.0,0.4278804274067331,0.7093432941825645
1.9800000000000002,46.0,-174.0,0.3794545788219799,0.6290625691050369
1.9800000000000002,48.00000000000001,-174.0,0.36205648433623094,0.6002198811377059
1.9800000000000002,50.0,-174.0,0.3754447824893225,0.6224150994910443
1.9800000000000002,52.0,-174.0,0.41163351758556366,0.6824090485507108
1.9800000000000002,54.0,-174.0,0.4599997419623091,0.7625909281812111
1.9800000000000002,56.0,-174.0,0.5117143786404078,0.8483238301534405
1.9800000000000002,58.00000000000001,-174.0,0.5606095628881539,0.9293826233171443
1.9800000000000002,59.99999999999999,-174.0,0.6025859886237416,0.9989714481431688
1.9800000000000002,62.0,-174.0,0.6349893024718224,1.0526898982408641
1.9800000000000002,64.0,-174.0,0.6562182902628758,1.087883469078244
1.9800000000000002,66.0,-174.0,0.6654971467800657,1.1032660251069033
1.9800000000000002,68.0,-174.0,0.6627343648031259,1.0986858649894886
1.9800000000000002,70.0,-174.0,0.6484280065183176,1.0749686798520266
1.9800000000000002,72.0,-174.0,0.6236009965470566,1.0338102815947086
1.9800000000000002,74.0,-174.0,0.58975756753167,0.977704398066206
1.9800000000000002,76.0,-174.0,0.5488506042294887,0.9098885358646112
1.9800000000000002,78.0,-174.0,0.5032469069524149,0.834286393814131
1.9800000000000002,80.0,-174.0,0.45567680964399826,0.7554243394456999
1.9800000000000002,82.0,-174.0,0.4091526144696442,0.67829618926556
1.9800000000000002,84.0,-174.0,0.3668261544096383,0.6081270749828185
1.9800000000000002,86.0,-174.0,0.33172201629437914,0.5499311787109673
1.9800000000000002,88.0,-174.0,0.3062646116578711,0.5077277075785204
1.9800000000000002,90.0,-174.0,0.2916355796160713,0.48347559153263153
1.9800000000000002,92.0,-174.0,0.28730842522171945,0.476302003408657
1.9800000000000002,94.0,-174.0,0.2912228422666166,0.48279135254355526
1.9800000000000002,96.00000000000001,-174.0,0.3005566062626205,0.4982649345911733
1.9800000000000002,98.0,-174.0,0.31252699035064646,0.5181095246629681
