f (GHz),S11 (dB),S11 (deg.)
1665500000.0,-8.059775288278185,4.046580805474447
1667200000.0,-8.054571334835705,3.716019076873045
1668900000.0,-8.049556036861743,3.388311668374728
1670600000.0,-8.044725227829087,3.063397641162097
1672300000.0,-8.040074808095296,2.7412173878998067
1674000000.0,-8.035600742080382,2.421712576537854
1675700000.0,-8.031299055540925,2.104826095896697
1677400000.0,-8.027165832936271,1.790502002945549
1679100000.0,-8.023197214882456,1.4786854716885263
1680800000.0,-8.019389395689869,1.169322743576584
1682500000.0,-8.015738620980567,0.8623610793668232
1684200000.0,-8.01224118538144,0.5577487123529196
1685900000.0,-8.008893430289428,0.255434802893971
1687600000.0,-8.005691741705178,-0.04463060582912645
1689300000.0,-8.002632548131604,-0.3424966308977009
1691000000.0,-7.999712318533896,-0.6382115916457649
1692700000.0,-7.996927560357663,-0.9318230506207893
1694400000.0,-7.9942748176019665,-1.2233778535769693
1696100000.0,-7.991750668944078,-1.512922168560976
1697800000.0,-7.989351725912891,-1.8005015241492592
1699500000.0,-7.987074631107969,-2.0861608468938995
1701200000.0,-7.984916056461363,-2.3699444980330773
1702900000.0,-7.982872701539248,-2.651896309520997
1704600000.0,-7.980941291880707,-2.9320596194309876
1706300000.0,-7.979118577370798,-3.2104773067846124
1708000000.0,-7.977401330645329,-3.487191825859037
1709700000.0,-7.975786345524681,-3.762245240023888
1711400000.0,-7.974270435474061,-4.035679255158782
1713100000.0,-7.9728504320877045,-4.307535252701905
1714800000.0,-7.971523183594465,-4.577854322380006
1716500000.0,-7.970285553382407,-4.846677294669955
1718200000.0,-7.969134418539845,-5.114044773042098
1719900000.0,-7.968066668410517,-5.3799971660354595
1721600000.0,-7.967079203160457,-5.644574719215641
1723300000.0,-7.9661689323541705,-5.907817547066058
1725000000.0,-7.965332773537789,-6.1697656648642365
1726700000.0,-7.9645676508267975,-6.430459020595071
1728400000.0,-7.963870493496033,-6.6899375269541554
1730100000.0,-7.963238234569554,-6.948241093495039
1731800000.0,-7.96266780940803,-7.205409658975512
1733500000.0,-7.962156154291322,-7.461483223959217
1735200000.0,-7.9617002049938,-7.716501883730506
1736900000.0,-7.961296895350038,-7.970505861581833
1738600000.0,-7.9609431558084935,-8.223535542535206
1740300000.0,-7.960635911970613,-8.475631507560797
1742000000.0,-7.960372083113007,-8.726834568358578
1743700000.0,-7.9601485806900705,-8.977185802770716
1745400000.0,-7.959962306814532,-9.226726590895796
1747100000.0,-7.959810152713307,-9.47549865197833
1748800000.0,-7.959688997156001,-9.723544082150813
1750500000.0,-7.95959570485331,-9.970905393108364
1752200000.0,-7.959527124822555,-10.217625551800795
1753900000.0,-7.95948008871753,-10.463748021229923
1755600000.0,-7.959451409119637,-10.709316802445748
1757300000.0,-7.959437877787414,-10.954376477838693
1759000000.0,-7.95943626386128,-11.198972255831375
1760700000.0,-7.9594433120203405,-11.443150017078782
1762400000.0,-7.9594557405880035,-11.686956362291573
1764100000.0,-7.959470239582944,-11.930438661804573
1765800000.0,-7.959483468712003,-12.173645107019224
1767500000.0,-7.959492055301335,-12.4166247638569
1769200000.0,-7.9594925921621655,-12.659427628368427
1770900000.0,-7.95948163538718,-12.902104684654272
1772600000.0,-7.959455702073655,-13.144707965259835
1774300000.0,-7.95941126796915,-13.387290614221056
1776000000.0,-7.9593447650354605,-13.629906952947222
1777700000.0,-7.959252578926471,-13.872612549140351
1779400000.0,-7.959131046375251,-14.115464288964356
1781100000.0,-7.95897645248571,-14.358520452691891
1782800000.0,-7.958785027923834,-14.60184079407288
1784500000.0,-7.958552946003552,-14.84548662368622
1786200000.0,-7.958276319661822,-15.089520896554932
1787900000.0,-7.957951198317691,-15.334008304325694
1789600000.0,-7.957573564609659,-15.57901537233592
1791300000.0,-7.95713933100561,-15.824610561916018
1793000000.0,-7.9566443362794725,-16.070864378300463
1794700000.0,-7.9560843418484675,-16.317849484550585
1796400000.0,-7.955455027964843,-16.565640821922806
1798100000.0,-7.954751989755712,-16.81431573715054
1799800000.0,-7.953970733104605,-17.06395411714495
1801500000.0,-7.953106670368229,-17.31463853166065
1803200000.0,-7.952155115921902,-17.56645438451654
1804900000.0,-7.951111281527029,-17.819490074010844
1806600000.0,-7.949970271514253,-18.073837163222166
1808300000.0,-7.948727077775697,-18.32959056094688
1810000000.0,-7.947376574560149,-18.58684871408668
1811700000.0,-7.945913513065205,-18.845713812370064
1813400000.0,-7.944332515820712,-19.10629200636822
1815100000.0,-7.9426280708583965,-19.368693639850225
1816800000.0,-7.940794525663226,-19.633033497615
1818500000.0,-7.938826080902782,-19.8994310700395
1820200000.0,-7.93671678393208,-20.168010835695092
1821900000.0,-7.934460522072456,-20.438902563507956
1823600000.0,-7.932051015664843,-20.712241636076044
1825300000.0,-7.929481810899562,-20.988169395906453
1827000000.0,-7.92674627242736,-21.26683351650375
1828700000.0,-7.923837575759052,-21.548388400425218
1830400000.0,-7.920748699464822,-21.832995606623648
1832100000.0,-7.917472417188325,-22.1208243096257
1833800000.0,-7.9140012894957845,-22.41205179334619
1835500000.0,-7.91032765558628,-22.706863982619506
1837200000.0,-7.906443624896666,-23.005456015841112
1838900000.0,-7.9023410686431195,-23.308032862460276
1840600000.0,-7.898011611351514,-23.614809989452866
1842300000.0,-7.893446622441126,-23.9260140813357
1844000000.0,-7.888637207940533,-24.241883818768525
1845700000.0,-7.883574202431979,-24.56267072133056
1847400000.0,-7.878248161340913,-24.888640060665566
1849100000.0,-7.872649353711956,-25.22007185086966
1850800000.0,-7.86676775564144,-25.557261923760024
1852500000.0,-7.86059304457151,-25.900523097521624
1854200000.0,-7.854114594691673,-26.250186448195738
1855900000.0,-7.8473214737429995,-26.606602694563573
1857600000.0,-7.840202441578452,-26.970143708207157
1859300000.0,-7.832745950902613,-27.34120416191836
1861000000.0,-7.824940150697389,-27.720203331196803
1862700000.0,-7.816772892939636,-28.107587065355446
1864400000.0,-7.808231743335763,-28.503829946767716
1866100000.0,-7.799303996940723,-28.909437659077533
1867800000.0,-7.789976699699843,-29.32494958779131
1869500000.0,-7.780236677156871,-29.750941679627303
1871200000.0,-7.7700705718183904,-30.188029590361328
1872900000.0,-7.759464890961479,-30.63687215474303
1874600000.0,-7.748406067029591,-31.09817521643058
1876300000.0,-7.736880533193798,-31.572695860884004
1878000000.0,-7.724874817179529,-32.061247099862165
1879700000.0,-7.712375657092326,-32.564703062686974
1881400000.0,-7.699370143745172,-33.08400475689358
1883100000.0,-7.685845894924751,-33.62016646941134
1884800000.0,-7.671791268172542,-34.1742828891706
1886500000.0,-7.657195620046267,-34.74753704317722
1888200000.0,-7.642049621525463,-35.34120915083058
1889900000.0,-7.62634564130509,-35.95668651578953
1891600000.0,-7.6100782112731045,-36.5954745912374
1893300000.0,-7.593244591604424,-37.25920937319422
1895000000.0,-7.575845456765453,-37.949671297800435
1896700000.0,-7.557885728485512,-38.66880084246509
1898400000.0,-7.539375587633121,-39.418716057595184
1900100000.0,-7.520331704209292,-40.201732285378455
1901800000.0,-7.500778733676434,-41.02038435470279
1903500000.0,-7.480751139003341,-41.87745157643307
1905200000.0,-7.4602954116461495,-42.77598590021805
1906900000.0,-7.439472781846681,-43.71934363145335
1908600000.0,-7.418362529899375,-44.71122114278399
1910300000.0,-7.397066036366201,-45.75569504507853
1912000000.0,-7.375711741735459,-46.85726730272152
1913700000.0,-7.354461226036763,-48.020915779181244
1915400000.0,-7.333516667911569,-49.25215066902806
1917100000.0,-7.3131300021495065,-50.55707719433634
1918800000.0,-7.293614166210386,-51.942464791546996
1920500000.0,-7.2753569108402525,-53.41582275396776
1922200000.0,-7.258837747683669,-54.98548187614331
1923900000.0,-7.244648716012877,-56.66068100305291
1925600000.0,-7.233519766093038,-58.45165643240435
1927300000.0,-7.22634966712323,-60.36973074238145
1929000000.0,-7.224243432354723,-62.42739569006174
1930700000.0,-7.228557277136787,-64.63838120946347
1932400000.0,-7.240952029318063,-67.0176991184002
1934100000.0,-7.263455606667343,-69.58164589435135
1935800000.0,-7.298534534013289,-72.34774398520472
1937500000.0,-7.349173320642718,-75.33459617701581
1939200000.0,-7.418958647728855,-78.5616238631377
1940900000.0,-7.512162520121914,-82.04866008580375
1942600000.0,-7.63381470220939,-85.81537592681848
1944300000.0,-7.789750023788424,-89.88053988659732
1946000000.0,-7.986611140309768,-94.26115111414866
1947700000.0,-8.23178342669082,-98.9715546042176
1949400000.0,-8.533238018526898,-104.02274052055826
1951100000.0,-8.899264002264008,-109.42214034241317
1952800000.0,-9.338082618600087,-115.17433313247778
1954500000.0,-9.857352654702773,-121.28312440686882
1956200000.0,-10.463588288358414,-127.7554136287209
1957900000.0,-11.16150270914277,-134.60709755336399
1959600000.0,-11.95324256585474,-141.87096368823993
1961300000.0,-12.837371078729493,-149.60608950173113
1963000000.0,-13.807284374191841,-157.90749999252907
1964700000.0,-14.848534065298713,-166.91317031111436
1966400000.0,-15.934422182931428,-176.80168583985525
1968100000.0,-17.019712429797305,172.2333362878349
1969800000.0,-18.034501138473335,160.05422653655373
1971500000.0,-18.885360758694397,146.71006202113404
1973200000.0,-19.475312967910913,132.5814759001431
1974900000.0,-19.744112604706988,118.39251663099856
1976600000.0,-19.701201649645576,104.97495986492733
1978300000.0,-19.41736235920627,92.93659598575735
1980000000.0,-18.984361083458605,82.51332448144025
1981700000.0,-18.480549842783976,73.64865903816295
1983400000.0,-17.959056772511286,66.14454095826922
1985100000.0,-17.450758725766516,59.77058145299735
1986800000.0,-16.97131851424639,54.315955490645386
1988500000.0,-16.527254760076083,49.60540758608606
1990200000.0,-16.120016835962872,45.499152184427516
1991900000.0,-15.748435747412925,41.887420313980385
1993600000.0,-15.41011508319771,38.68422791166696
1995300000.0,-15.102190548675093,35.82193024243347
1997000000.0,-14.82172944653285,33.24689515505065
1998700000.0,-14.565929716254216,30.91620026304121
2000400000.0,-14.332209347445419,28.795151827331114
2002100000.0,-14.118237044652926,26.855428346420926
2003800000.0,-13.921932410013895,25.0736881663093
2005500000.0,-13.741451233159303,23.43051887472144
2007200000.0,-13.575164391989077,21.90963832242858
2008900000.0,-13.421634910906642,20.49728162490701
2010600000.0,-13.279595517517684,19.181726508821235
2012300000.0,-13.147927816321785,17.952922373802295
2014000000.0,-13.025643528804697,16.802197771516237
2015700000.0,-12.911867892014936,15.722027697471065
2017400000.0,-12.805825125664667,14.70584690828376
2019100000.0,-12.706825793524386,13.747898963213494
2020800000.0,-12.614255854256145,12.843113228642258
2022500000.0,-12.527567194733042,11.987003948581817
2024200000.0,-12.446269451092668,11.175586863651182
2025900000.0,-12.369922941294345,10.405309889685636
2027600000.0,-12.298132553421263,9.672995140500248
2029300000.0,-12.230542454083196,8.975790165327327
2031000000.0,-12.166831499904532,8.311126718903559
2032700000.0,-12.106709251759932,7.676685726419765
2034400000.0,-12.049912506039606,7.0703673722982465
2036100000.0,-11.996202269870908,6.490265449915934
2037800000.0,-11.945361118063671,5.934645272913475
2039500000.0,-11.897190878787763,5.401924578017626
2041200000.0,-11.851510602841177,4.890656952158221
2042900000.0,-11.808154778020155,4.399517398969177
2044600000.0,-11.76697175573655,3.927289726003538
2046300000.0,-11.727822361796512,3.4728554875915356
2048000000.0,-11.690578667292655,3.035184261863431
2049700000.0,-11.655122898983706,2.613325076092007
2051400000.0,-11.621346471438446,2.206398823771774
2053100000.0,-11.58914912568617,1.8135915409934273
2054800000.0,-11.55843816121336,1.4341484296738736
2056500000.0,-11.529127749933144,1.06736853184364
2058200000.0,-11.50113832227937,0.7125999730943423
2059900000.0,-11.474396016881041,0.36923570494428837
